国家,背号,姓名,位置,身高(cm),出生年份,俱乐部
比利时,1,贝尔泰尔斯,OH,185,2006,贝弗伦
比利时,2,范萨斯,S,188,1997,贝弗伦
比利时,28,德布,L,178,2007,贝弗伦
比利时,33,范德肖门,L,163,2005,鲁瑟拉勒
比利时,3,赫尔伯茨,OH,182,1999,诺瓦拉(意甲)
比利时,4,莱门斯,MB,192,1995,热舒夫(波超)
比利时,17,沃特斯,MB,193,2006,鲁瑟拉勒
比利时,19,范阿韦马特,MB,192,1999,诺瓦拉(意甲)
比利时,5,拉多维奇,OH,184,2007,莎普
比利时,7,库尔贝里格,MB,188,2004,斯图加特(德甲)
比利时,26,豪本,MB,186,2006,奥德海姆
比利时,8,纳赫尔斯,S,182,1997,苏尔图林根(德甲)
比利时,9,德梅耶,OH,175,2001,奥德海姆
比利时,32,霍尔,O,182,2009,维尔福德体育学院
比利时,10,马丁,O,189,2002,斯图加特(德甲)
比利时,12,克雷尼茨基,S,189,2000,阿尔巴布拉日(罗马尼亚)
比利时,16,德布克,L,162,2005,贝弗伦
比利时,6,吉尔松,OH,184,1999,贝弗伦
比利时,18,朗佩尔贝里格,L,165,2000,亚特兰大律动(美联)
比利时,20,弗兰森,MB,184,2002,贝弗伦
比利时,23,勒伊滕,OH,188,2006,鲁瑟拉勒
比利时,25,范埃尔森,OH,182,2004,奥德海姆
比利时,30,霍斯特,OH,185,2007,鲁瑟拉勒
比利时,31,约森,OH,184,2009,维尔福德体育学院
比利时,21,德勒,OH,185,2007,鲁瑟拉勒
比利时,24,梅斯,MB,188,2008,维尔福德体育学院
比利时,22,韦尔赫斯特,O,186,2007,奥德海姆
比利时,15,范德韦弗,S,173,1996,马克昂巴勒勒(法甲)
比利时,27,诺伊夫肯斯,S,167,2005,贝弗伦
比利时,29,恩赫尔斯,S,183,2005,Thuismakers Brabo Antwerp VT
巴西,1,布鲁娜,S,170,1995,Sancor Seguros Vôlei Maringá
巴西,2,迪亚娜,MB,194,1999,塞西包鲁
巴西,3,马克里斯,S,178,1989,海滩
巴西,4,洛雷娜,MB,190,1999,塞斯克·弗拉门托
巴西,5,纳蒂尼亚,L,162,1997,海滩
巴西,7,罗萨玛丽亚,O,185,1994,蜜蜂电装(日联)
巴西,20,迈阿拉,OH,189,1996,奥萨斯科
巴西,21,卡琳娜,OH,182,1998,塞斯克·弗拉门托
巴西,23,德鲁西拉,OH,182,1996,阿尔巴布拉日(罗马尼亚)
巴西,8,库蒂斯,MB,192,2003,米纳斯
巴西,9,罗贝塔,S,185,1990,土耳其航空(土超)
巴西,18,热奥瓦娜,O,194,2001,米纳斯
巴西,25,雅奎琳,O,186,2003,Sancor Seguros Vôlei Maringá
巴西,12,萨布丽娜,O,181,1996,蜜蜂电装(日联)
