国家,背号,姓名,位置,身高(cm),出生年份,俱乐部
阿根廷,1,马蒂亚斯・桑切斯・帕赫斯,二传,175,1996,蒙彼利埃 法国
阿根廷,2,卢卡斯・孔德,主攻,193,2004,布拉格雄狮 捷克
阿根廷,3,扬・马丁内斯・弗兰奇,主攻,190,1998,图尔宽里尔都市 法国
阿根廷,4,华金・加列戈,副攻,204,1996,苏瓦乌基 波兰
阿根廷,5,伊格纳西奥・伦加斯,主攻,197,1996,图尔宽里尔都市 法国
阿根廷,6,赫尔曼・阿尔弗雷多・戈麦斯,接应,191,2003,特鲁埃尔帕梅萨 西班牙
阿根廷,7,卢西亚诺・帕隆斯基,主攻,198,1999,伊斯坦布尔GSK 土耳其
阿根廷,8,奥古斯丁・洛塞尔,副攻,198,1997,佩鲁贾 意大利
阿根廷,9,圣地亚哥・阿罗约,自由人,175,1999,布加勒斯特星队 罗马尼亚
阿根廷,10,福斯托・迪亚斯,主攻,190,2006,马纳科尔 西班牙
阿根廷,11,曼努埃尔・阿莫阿,主攻,195,2002,阿布扎比半岛体育 阿联酋
阿根廷,12,伊马诺尔・萨拉查,副攻,202,2003,圣洛伦索 阿根廷
阿根廷,14,费德里科・哈维尔・德博尼斯,主攻,193,2008,贝尔萨斯菲尔德 阿根廷
阿根廷,15,卢西亚诺・德切科,二传,194,1988,琴斯托霍瓦理工 波兰
阿根廷,16,巴勃罗・塞尔希奥・库卡尔采夫,接应,203,1993,鲁贝奇维塔诺瓦 意大利
阿根廷,17,卢西亚诺・维森廷,主攻,197,2000,东京大熊 日本
阿根廷,18,马丁・拉莫斯,副攻,197,1991,瓜瓜斯 西班牙
阿根廷,19,佛朗哥・马西米诺,自由人,177,1988,普瓦捷 法国
阿根廷,20,费德里科・马丁・特鲁科,自由人,177,2004,乌普辛 阿根廷
阿根廷,21,毛罗・达尼洛・盖,接应,197,2007,城市 阿根廷
阿根廷,22,尼古拉斯・塞尔瓦,副攻,203,1999,塞特 法国
阿根廷,23,托马斯・洛佩斯,主攻,190,1994,蒙彼利埃 法国
阿根廷,24,费德里科・阿尔克斯,二传,186,2000,梅利利亚 西班牙
阿根廷,25,古斯塔沃・马西埃尔,副攻,205,2002,腓特烈港 德国
阿根廷,26,内温・托马斯・达韦尔萨,二传,184,2009,
阿根廷,27,曼努埃尔・阿尔布雷希特,自由人,183,2004,德日联合 罗马尼亚
阿根廷,66,巴勃罗・塞萨尔・德尼斯・卡瓦尼亚斯,接应,193,2003,博卡青年 阿根廷
阿根廷,77,马蒂亚斯·吉劳多,二传,196,1998,摩德纳 意大利
比利时,2,费雷・雷格斯,接应,204,2003,米兰 意大利
比利时,3,萨姆・德鲁,主攻,203,1992,新西伯利亚火车头 俄罗斯
比利时,4,斯泰恩・德许尔斯特,二传,187,1991,鲁瑟拉勒 比利时
比利时,6,西蒙・普拉斯基,主攻,193,2001,柏林 德国
比利时,7,伦纳特・范埃尔森,副攻,203,2001,鲁瑟拉勒 比利时
比利时,8,米希尔・弗兰森,主攻,202,2002,阿赫尔 比利时
比利时,9,沃特・德埃尔,副攻,203,2001,鲁贝奇维塔诺瓦 意大利
比利时,11,塞普・范霍伊维亨,二传,198,2000,鲁瑟拉勒 比利时
比利时,12,塞普・罗蒂,主攻,190,2001,米兰 意大利
比利时,13,科比・韦温普,自由人,181,2005,哈斯罗德 - 鲁汶 比利时
比利时,14,丹尼斯・德鲁瓦伊,自由人,191,1987,鲁瑟拉勒 比利时
比利时,15,巴兹尔・德尔莫,接应,198,2003,鲁瑟拉勒 比利时
比利时,16,马蒂亚斯・瓦尔基尔斯,二传,195,1990,哈斯罗德 - 鲁汶 比利时
比利时,17,瓦尔・范德克赖斯,接应,198,2006,安特卫普 比利时
比利时,18,塞普・贝滕斯,主攻,191,1989,布加勒斯特星队 罗马尼亚
比利时,19,戈里克・兰索赫特,自由人,186,2005,安特卫普 比利时
比利时,21,塞缪尔・法夫尚,副攻,201,2001,马塞克 比利时
比利时,22,马丁・拉勒芒,主攻,198,2000,鲁瓦扬 法国
比利时,23,皮埃尔・佩兰,主攻,191,2004,马塞克 比利时
比利时,24,马泰因・科尔松,副攻,203,1994,阿赫尔 比利时
比利时,26,吉勒・范德卡韦耶,主攻,192,1995,梅嫩 比利时
比利时,27,拉塞・范赫内赫滕,副攻,203,2004,安特卫普 比利时
比利时,28,罗贝・蓬塞莱,二传,184,2005,图尔宽里尔都市 法国
比利时,29,毛罗・利普斯,副攻,199,2006,鲁瑟拉勒 比利时
比利时,30,尼尔斯・科皮耶特,主攻,195,2008,维尔福德 比利时
比利时,31,利亚姆・麦克克拉斯基,二传,184,2002,猎户星 荷兰
比利时,32,马蒂斯・韦温普,自由人,173,2006,阿尔斯特 比利时
比利时,33,安德烈・斯托利亚尔,二传,193,2007,梅嫩 比利时
比利时,34,西蒙・卢卡・弗拉霍维奇,副攻,196,2003,阿尔斯特 比利时
比利时,35,吉莱姆・于贝尔,接应,194,2007,瓦雷姆 比利时
巴西,1,达兰・费雷拉・索萨,接应,192,2002,维罗纳 意大利
巴西,2,韦林顿・奥彭科斯基,接应,195,2000,
巴西,3,蒂埃里・费利佩・奥利韦拉・莫赖斯・多・纳西门托,副攻,204,2003,
巴西,4,加布里埃尔・比勒・席尔瓦・维里亚托・梅代罗斯,二传,180,2002,
巴西,5,马泰乌斯・席尔瓦・贡萨尔维斯,二传,185,1997,克鲁塞罗 巴西
巴西,6,阿德里亚诺・费尔南德斯・P.X. 卡瓦尔坎特,主攻,201,2002,坎皮纳斯 巴西
巴西,7,马泰乌斯・比斯波・多斯桑托斯,副攻,207,1996,坎皮纳斯 巴西
巴西,8,恩里克・丹塔斯・诺布雷加・奥诺拉托,主攻,190,1997,苏瓦乌基 波兰
巴西,9,莱昂纳多・卢卡斯・德・奥利韦拉・莱奥尔特,主攻,200,2002,
巴西,10,迈孔・多斯桑托斯・弗兰萨,主攻,215,2004,
巴西,11,儒德松・阿马贝尔・努内斯・达・库尼亚（小）,副攻,204,1998,坎皮纳斯 巴西
巴西,12,道格拉斯・科雷亚・德・索萨,主攻,199,1995,克鲁塞罗 巴西
巴西,13,卢卡斯・阿德里亚诺・阿劳若・巴雷托,副攻,207,1997,包鲁 巴西
巴西,14,费尔南多・吉尔・克雷林,二传,186,1996,米兰 意大利
巴西,15,迈克・赖斯・纳西门托,自由人,187,1997,瓜鲁柳斯 巴西
巴西,16,道格拉斯・普雷扎,自由人,178,1996,包鲁 巴西
巴西,17,布莱恩・卢卡斯・阿尔维斯・达・席尔瓦,接应,204,2005,瓜鲁柳斯 巴西
巴西,18,里卡多・卢卡雷利・索萨,主攻,196,1992,捷太格特 蜂刺 日本
巴西,19,阿图尔・本托・布茨米耶乌克,主攻,205,2004,摩德纳 意大利
巴西,20,卢卡斯・费利佩・贝格曼,主攻,204,2004,皮亚琴察 意大利
巴西,21,吉列尔梅・沃斯・梅西亚斯・多斯桑托斯,副攻,200,2000,
巴西,22,奇佐巴・爱德华多・内维斯・阿图,接应,200,1997,利比亚联合 利比亚
巴西,23,弗拉维奥・雷森德・瓜尔贝托,副攻,199,1993,特伦蒂诺 意大利
巴西,24,伦德里克・雷斯利・罗萨,二传,183,1999,海滩 巴西
巴西,25,保罗・维尼修斯・费雷拉・达・席尔瓦,主攻,197,2001,
巴西,26,萨穆埃尔・卡拉扎伊・德・莫赖斯・诺伊费尔德,接应,203,2004,米纳斯 巴西
巴西,28,亚历山大・菲格雷多・埃利亚斯,自由人,190,1997,
巴西,29,菲利佩・施托尔贝格・特谢拉・德・卡瓦略・巴尔博扎,自由人,180,1992,
巴西,30,吉列尔梅・萨比诺・亚历山大,接应,201,2002,
保加利亚,1,西梅翁・尼科洛夫,二传,208,2006,新西伯利亚火车头 俄罗斯
保加利亚,2,柳博斯拉夫・泰利伊斯基,二传,197,2001,布尔加斯 保加利亚
保加利亚,3,伊利亚・佩特科夫,副攻,202,1996,格罗塔佐利纳 意大利
保加利亚,4,马丁・阿塔纳西奥夫,主攻,196,1996,蒙扎 意大利
保加利亚,5,鲍里斯・纳切夫,副攻,206,2004,帕多瓦 意大利
保加利亚,6,扎斯明・韦利奇科夫,主攻,203,2007,蒙扎 意大利
保加利亚,7,普雷斯拉夫・佩特科夫,副攻,206,2003,马萨福尔戈雷 意大利
保加利亚,8,阿斯帕鲁・阿斯帕鲁霍夫,主攻,200,2000,图尔 法国
保加利亚,9,弗拉基米尔・加尔科夫,主攻,198,2003,圣纳泽尔 法国
保加利亚,10,杰尼斯・卡里亚金,主攻,206,2002,马切拉塔 意大利
保加利亚,11,亚历克斯・格罗兹达诺夫,副攻,208,1998,卢布林 波兰
保加利亚,12,格奥尔基・塔塔罗夫,主攻,198,2003,加拉塔沙雷 土耳其
保加利亚,13,迪米塔尔・迪米特罗夫,接应,208,2000,釜山 OK 储蓄银行 韩国
保加利亚,14,伊瓦伊洛・达米亚诺夫,副攻,202,2003,普罗夫迪夫火车头航空 保加利亚
保加利亚,15,鲁西・热列夫,主攻,197,2001,马切拉塔 意大利
保加利亚,16,赫里斯季扬・迪米特罗夫,接应,200,1999,拉文纳 意大利
保加利亚,18,韦尼斯拉夫・安托夫,接应,196,2004,图尔宽 法国
保加利亚,19,杰尼斯拉夫・巴尔达罗夫,主攻,200,2003,伊斯坦布尔 BB 土耳其
保加利亚,20,斯托伊尔・帕莱夫,二传,188,2003,列夫斯基 保加利亚
保加利亚,21,迪米塔尔・多布列夫,自由人,192,2008,列夫斯基 保加利亚
保加利亚,22,达米扬・科莱夫,自由人,176,2002,列夫斯基 保加利亚
保加利亚,23,亚历山大・尼科洛夫,主攻,207,2003,鲁贝奇维塔诺瓦 意大利
保加利亚,24,维克托・热科夫,二传,193,2005,蒙塔纳 保加利亚
保加利亚,25,亚森・佩特罗夫,自由人,182,2006,布尔加斯 保加利亚
保加利亚,26,克里斯季扬・阿列克索夫,主攻,190,2003,普罗夫迪夫火车头航空 保加利亚
保加利亚,27,基里尔・科莱夫,副攻,205,2003,普罗夫迪夫火车头航空 保加利亚
保加利亚,28,卡洛伊安・博泰夫,自由人,180,2004,蒙塔纳 保加利亚
保加利亚,29,迪米塔尔・佩奇诺夫,接应,213,2008,列夫斯基 保加利亚
保加利亚,30,拉扎尔・布奇科夫,副攻,198,2004,列夫斯基 保加利亚
保加利亚,33,安东・斯坦切夫,二传,187,2003,普罗夫迪夫火车头航空 保加利亚
加拿大,1,皮尔逊・埃申科,副攻,204,1997,普瓦捷 法国
加拿大,2,卢克・赫尔,二传,192,1994,米隆 希腊
加拿大,3,科迪・哈德森,副攻,205,2005,
加拿大,4,埃里克・西克斯纳,主攻,198,2001,鲁瑟拉勒 比利时
加拿大,5,布罗迪・霍弗,主攻,199,2000,阿拉尼亚市政 土耳其
加拿大,6,丹尼・德米亚年科,副攻,196,1994,热舒夫 波兰
加拿大,7,斯蒂芬・蒂莫西・马尔,主攻,201,1994,加拉塔沙雷 土耳其
加拿大,8,梅森・格雷夫斯,二传,185,2003,英属哥伦比亚大学 加拿大
加拿大,9,马克斯・埃尔格特,二传,191,1998,勒普莱西 法国
加拿大,11,桑德・克特任斯基,接应,208,2000,戛纳 法国
加拿大,12,昆廷・格林里奇,自由人,172,2005,夏威夷大学 美国
加拿大,13,沙隆・弗农 - 埃文斯,接应,206,1998,水源电力 韩国
加拿大,14,阿瑟・斯瓦茨,接应,209,1995,奥尔什丁 波兰
加拿大,15,杰克逊・扬,主攻,195,2001,卢布林 波兰
加拿大,16,戴南・吉马,副攻,200,1998,卢布林 波兰
加拿大,17,杰克逊・豪,副攻,198,1998,吕讷堡 德国
加拿大,19,乔纳森・波特兰斯,二传,191,2001,巴坦圣罗克 西班牙
加拿大,20,乔丹・卡纳姆,接应,194,2000,迪伦电力 德国
加拿大,22,科里・舍恩赫尔,副攻,204,2003,西三一大学 加拿大
加拿大,23,欧文・威克斯,接应,199,2006,曼尼托巴大学 加拿大
加拿大,30,科尔・邓肯森,副攻,203,2002,乌斯季 捷克
加拿大,31,丹尼尔・赫什季诺维奇,接应,206,2005,长滩州立大学 美国
加拿大,45,特伦特・切雷瓦蒂,副攻,200,2005,阿尔伯塔大学 加拿大
加拿大,80,埃里克・勒普基,主攻,197,1998,鲁贝奇维塔诺瓦 意大利
加拿大,81,杰里米・洛夫,二传,196,2003,伊拿克里斯 希腊
加拿大,87,扎卡里・霍兰兹,自由人,182,1999,普瓦捷 法国
加拿大,88,达里安・皮克利克,自由人,180,1999,利库尔古斯 荷兰
加拿大,95,卡登・施密特,主攻,196,2004,西三一大学 加拿大
加拿大,97,兰登・柯里,自由人,175,1999,切斯特纳 意大利
加拿大,99,斯凯勒・瓦尔加,主攻,200,2003,长滩州立大学 美国
中国,1,温子华,接应,201,1999,河北
中国,2,江川,接应,205,1994,北京
中国,3,王鹤斌,二传,188,1999,广东
中国,4,李磊,主攻,201,2001,山东
中国,5,胡翰林,副攻,205,2008,山东
中国,6,俞元泰,主攻,186,1997,江苏
中国,7,李天乐,自由人,183,2001,江苏
中国,8,王东宸,副攻,200,2000,北京
中国,9,李咏臻,副攻,198,1998,浙江
中国,10,季道帅,主攻,194,1992,福建
中国,11,吴斋,二传,189,1997,福建
中国,12,张哲嘉,副攻,207,1995,上海
中国,13,范宣玉,二传,195,2002,山东
中国,14,孙青松,自由人,179,2006,江苏
中国,15,彭世坤,副攻,208,2000,大阪布鲁顿 日本
中国,16,曲宗帅,自由人,186,1999,上海
中国,18,王昌利,副攻,205,2002,天津
中国,19,周鑫,主攻,196,2004,上海
中国,20,陈磊炀,二传,198,1999,浙江
中国,22,张景胤,主攻,207,1999,浙江
中国,23,王滨,主攻,195,2001,浙江
中国,24,杨宝淇,主攻,197,2004,河北
中国,25,李海,接应,201,2005,山东
中国,26,吴昊泽,主攻,198,2006,江苏
中国,27,薛智鸿,主攻,195,2001,天津
中国,28,翟德军,主攻,195,2000,山东
中国,29,林日东,自由人,180,2000,福建
中国,30,刘力宾,主攻,197,1995,北京
中国,31,邹栩远,接应,195,2003,广东
中国,32,饶书涵,副攻,205,1996,福建
古巴,1,何塞・伊斯雷尔・马索・阿尔瓦雷斯,接应,204,1997,开罗国民 埃及
古巴,3,胡利奥・塞萨尔・卡德纳斯・莫拉莱斯,主攻,200,2000,东丽箭 静冈 日本
古巴,4,布莱恩・卡米诺・马丁内斯,主攻,186,2003,马里博尔 斯洛文尼亚
古巴,5,哈维尔・奥克塔维奥・孔塞普西翁・罗哈斯,副攻,202,1997,库什戈兹 土耳其
古巴,6,何塞・卡洛斯・罗梅罗・冈萨雷斯,接应,200,1999,巴库石油 阿塞拜疆
古巴,7,翁德・罗曼・加西亚・阿尔瓦雷斯,自由人,175,1993,
古巴,8,胡利奥・阿尔韦托・戈麦斯・加尔韦斯,二传,194,1999,费内巴切 土耳其
古巴,9,亚历杭德罗・米格尔・冈萨雷斯・罗德里格斯,接应,207,2003,科罗纳 罗马尼亚
古巴,10,尼瓦尔多・纳迪尔・迪亚斯・戈麦斯,主攻,202,1994,本菲卡 葡萄牙
古巴,11,利万・塔瓦达・迪亚斯,二传,199,1998,雅加达嘉鲁达 印尼
古巴,12,拉萨罗・尤迪尔・阿雷切亚・纳哈罗,自由人,190,2000,
古巴,13,罗伯特兰迪・西蒙・阿铁斯,副攻,208,1987,皮亚琴察 意大利
古巴,14,卡洛斯・哈维尔・佩雷拉・拉雷亚,主攻,192,2006,巴库石油 阿塞拜疆
古巴,15,戴维・菲耶尔・罗德里格斯,副攻,205,1993,库兹巴斯 俄罗斯
古巴,16,尤斯尼尔・冈萨雷斯・马蒂,主攻,198,2004,圣纳泽尔 法国
古巴,17,哈克迪尔・孔特雷拉斯・阿科斯塔,副攻,203,2004,布加勒斯特快速 罗马尼亚
古巴,18,米格尔・安赫尔・洛佩斯・卡斯特罗,主攻,189,1997,大阪布鲁顿 日本
古巴,19,恩德里尔・阿尔韦托・佩德罗索・加里加,副攻,212,2002,矿工 俄罗斯
古巴,20,蒂亚戈・苏亚雷斯・门多萨,副攻,194,2004,扎勒乌 罗马尼亚
古巴,23,马龙・扬特・埃雷拉,主攻,204,2001,泽尼特 俄罗斯
古巴,24,罗纳尔多・弗拉凯・巴尔翁,二传,193,2007,
古巴,25,路易斯・恩里克・雷耶斯・罗德里格斯,主攻,198,1999,希拉塞迪奇 阿塞拜疆
古巴,26,费利克斯・埃内斯托・罗德里格斯・埃尔南德斯,主攻,210,2005,天津男排
古巴,27,亚历杭德罗・罗德里格斯・富恩特斯,接应,208,2002,天津男排
古巴,28,克里斯蒂安・曼努埃尔・通迪凯・梅希亚斯,二传,190,2001,伊斯坦布尔GSK 土耳其
古巴,29,阿德里安・奇里诺・卡拉姆,二传,195,2002,克拉约瓦大学 罗马尼亚
古巴,30,丹尼尔・吉列尔莫・马丁内斯・坎波斯,接应,215,2005,广岛雷霆 日本
